BVG	CCG	ELG	GGG	LDG	NBG	NRG
	KCNJ5		TXNDC8		SPOP	
	KDM5A		U2AF1		STAG2	
	KDM5C		VHL		STAT3	
	KDM6A		WASF3		STK11	
	KDR		WT1		SUZ12	
	KIAA1549		XIRP2		SYNE1	
	KIF5B		XPO1		TAF1	
	KIT		ZFHX3		TBL1XR1	
	KLF4		ZNF180		TBX3	
	KLK2		ZNF471		TCF12	
	KRAS		ZNF483		TCF7	
	KTN1		ZNF620		TCF7L2	
	LAF4		ZNF750		TET2	
	LASP1		ZRANB3		TFDP1	
	LCK				TGFBR2	
	LCP1				TGIF1	
	LCX				TJP2	
	LHFP				TNFRSF10C	
	LIFR				TOM1	
	LMO1				TOP3A	
	LMO2				TP53	
	LPP				TP53BP1	
	LRIG3				TPR	
	LYL1				TRIM7	
	MADH4				TRIO	
	MAF				TRIP11	
	MAFB				TSC2	
	MALAT1				TUBA1A	
	MALT1				TXNIP	
	MAML2				U2AF1	
	MAP2K1				UHRF1BP1L	
	MAP2K2				VHL	
	MAP2K4				WHSC1	
	MAX				WHSC1L1	
	MDM2				WRN	
	MDM4				WT1	
	MDS1				ZFHX3	
	MDS2				ZFP36L1	
	MECT1				ZFP36L2	
	MED12				ZMYM2	
	MEN1				ZNF132	
	MET				ZNF300	
	MITF				ZNF814	
	MKL1				ZNF844	
	MLF1				ZNF91	
	MLH1				AARS	
	MLL				ACTB	
	MLL2				ACTG1	
	MLL3				ACVR2A	
	MLLT1				AHCTF1	
	MLLT10				AHCYL2	
	MLLT2				AHDC1	
	MLLT3				AHNAK	
	MLLT4				ANKRD11	
	MLLT6				ANKRD6	
	MLLT7				ANXA6	
	MN1				ARAF	
	MPL				ATF7IP	
	MSF				BAZ1B	
	MSH2				BAZ2A	
	MSH6				BCL9L	
	MSI2				CEP170	
	MSN				CHD3	
	MTCP1				CHD7	
	MUC1				CNOT1	
	MUTYH				CNOT3	
	MYB				COBLL1	
	MYC				CUL3	
	MYCL1				CUX1	
	MYCN				CYC1	
	MYD88				DAB2IP	
	MYH11				DCP1B	
	MYH9				DDX3X	
	MYST4				DIDO1	
	NACA				DIS3L2	
	NBS1				DNM3	
	NCOA1				DOCK4	
	NCOA2				DOT1L	
	NCOA4				DST	
	NDRG1				EPB41L3	
	NF1				EPHA3	
	NF2				EPHB6	
	NFE2L2				EPPK1	
	NFIB				ERBB4	
	NFKB2				FAM129B	
	NIN				FCHO2	
	NKX2-1				FLNA	
	NONO				FOSL2	
	NOTCH1				G3BP1	
	NOTCH2				GAB3	
	NPM1				GDI1	
	NR4A3				GIGYF2	
	NRAS				GNL3L	
	NSD1				GRIN3A	
	NT5C2				HERC1	
	NTRK1				HIST1H1C	
	NTRK3				HIST1H2BD	
	NUMA1				IARS2	
	NUP214				IK	
	NUP98				ING1	
	OLIG2				INPP4A	
	OMD				INTS1	
	P2RY8				JMJD1C	
	PAFAH1B2				KDM6B	
	PALB2				KIAA0947	
	PAX3				KIF20B	
	PAX5				LTBP1	
	PAX7				LUC7L2	
	PAX8				MACF1	
	PBRM1				MAP1A	
	PBX1				MAP1B	
	PCM1				MAP4	
	PCSK7				MARCKSL1	
	PDE4DIP				MCM7	
	PDGFB				MDN1	
	PDGFRA				MEGF6	
	PDGFRB				MGA	
	PER1				MICAL1	
	PHF6				MKI67	
	PHOX2B				MME	
	PICALM				MTM1	
	PIK3CA				MYCBP2	
	PIK3R1				MYO1D	
	PIM1				NAA15	
	PLAG1				NAV1	
	PML				NBEA	
	PMS1				NEK1	
	PMS2				NEK8	
	PMX1				NIPBL	
	PNUTL1				NMT2	
	POT1				P4HB	
	POU2AF1				PABPC4	
	POU5F1				PDS5A	
	PPARG				POLE	
	PPP2R1A				PPFIA4	
	PRCC				PRDM2	
	PRDM1				PRRC2A	
	PRDM16				PRX	
	PRF1				PSMD11	
	PRKAR1A				PSME3	
	PSIP2				PTPN13	
	PTCH				PWP1	
	PTEN				QKI	
	PTPN11				RAB11FIP5	
	PTPRC				RAG1	
	RAB5EP				RALGAPA1	
	RAC1				RANGAP1	
	RAD21				RBFOX2	
	RAD51L1				RBM10	
	RAF1				RIF1	
	RALGDS				RNF111	
	RANBP17				RPP38	
	RAP1GDS1				RSRC1	
	RARA				SEC23B	
	RB1				SETX	
	RBM15				SH3PXD2A	
	RECQL4				SLC25A10	
	REL				SLC3A2	
	RET				SMARCAD1	
	RNF43				SMC4	
	ROS1				SMCHD1	
	RPL10				SMYD4	
	RPL22				SOX9	
	RPL5				SPEG	
	RPN1				SPTAN1	
	RUNDC2A				SRCAP	
	RUNX1				SRRM2	
	RUNXBP2				SSX2IP	
	SBDS				STIP1	
	SDC4				SVIL	
	SDH5				TANC2	
	SDHB				TGOLN2	
	SDHC				TICAM1	
	SDHD				TLR4	
	6-Sep				TNKS1BP1	
	SET				TNPO1	
	SETBP1				TPM1	
	SETD2				TTK	
	SF3B1				UBE2Z	
	SFPQ				UBE4A	
	SFRS3				USP28	
	SH2B3				USP9X	
	SH3GL1				UTP14A	
	SIL				VEZT	
	SLC34A2				ZEB2	
	SLC45A3				ZMYM4	
	SMARCA4				ZMYND8	
	SMARCB1				ZNF451	
	SMARCE1				ZNF703	
	SMO					
	SOCS1					
	SOX2					
	SRGAP3					
	SRSF2					
	SS18					
	SS18L1					
	SSX1					
	SSX2					
	SSX4					
	STAG2					
	STAT3					
	STAT5B					
	STK11					
	STL					
	SUFU					
	SUZ12					
	SYK					
	TAF15					
	TAL1					
	TAL2					
	TBL1XR1 					
	TCEA1					
	TCF1					
	TCF12					
	TCF3					
	TCF7L2					
	TCL1A					
	TCL6					
	TERT					
	TET2					
	TFE3					
	TFEB					
	TFG					
	TFPT					
	TFRC					
	THRAP3					
	TIF1					
	TLX1					
	TLX3					
